,Retention time,BS10%2/3,compounds,,ret time,factor,y-value1,factor,y-value2,line 118,line 85
,14.48,63.79,"75_tr-1,4-DM-Adam",,35,247,100,275,100,118,85
,14.68,65.41,"76_1,3,6-TM-Adam",,36,253,100,284,100,118,85
,15.49,68.73,"78_tr-1,3,4-TM-Adam",,37,260,100,294,100,118,85
,15.61,71.15,"79_1,2,5,7-TeM-Adam ",,38,267,100,303,100,118,85
24,18.60,79.14,9_BS1,,39,273,100,313,100,118,85
,18.97,85.43,11_BS2,,40,280,100,322,100,118,85
,21.44,89.77,17_BS4,,41,287,100,332,100,118,85
,21.63,85.37,18_BS5,,42,293,100,341,100,118,85
,21.93,91.29,19_BS6,,43,300,100,351,100,118,85
,23.29,89.28,21_BS8,,44,307,100,360,100,118,85
,23.44,86.86,22_BS9,,45,313,100,369,100,118,85
,23.52,91.06,24_BS10,,46,320,100,379,100,118,85
,20.60,91.85,87_BS3,,47,327,100,388,100,118,85
25,22.51,0.00,95_ Diam,,48,333,100,398,100,118,85
,22.79,0.00,97_4-M-Diam,,49,340,100,407,100,118,85
26,36.84,98.25,51_C23Tr,,50,347,100,417,100,118,85
,37.66,96.71,52_C24Tr,,51,353,100,426,100,118,85
,33.97,0.00,120_C21Tr,,52,360,100,436,100,118,85
,39.30,93.16,129_C25Trab,,53,367,100,445,100,118,85
27,44.65,94.64,55_27Ts,,54,373,100,455,100,118,85
,45.14,94.43,57_27Tm,,55,380,100,464,100,118,85
,46.44,97.67,60_28ab,,56,387,100,474,100,118,85
,46.78,99.81,62_29ab,,57,393,100,483,100,118,85
,47.63,87.29,63_30O,,58,400,100,493,100,118,85
,47.78,97.74,64_30ab,,59,407,100,502,100,118,85
,48.93,98.23,66_31abS,,60,413,100,512,100,118,85
,49.24,0.00,67_30G,,,,,,,,
,43.14,98.23,135_C28 (22S),,,,,,,,
,43.46,0.00,136_C29 (22S),,,,,,,,
,46.44,98.92,142_25nor30ab,,,,,,,,
,46.86,97.63,144_29Ts,,,,,,,,
,48.22,88.80,145_30ba,,,,,,,,
,49.83,87.67,146_32abS,,,,,,,,
28,43.96,92.27,54_27bbR+S,,,,,,,,
,46.25,90.07,59_29bbR+S,,,,,,,,
,41.81,87.85,133_27dbS,,,,,,,,
,42.28,85.82,134_27dbR,,,,,,,,
,45.33,90.80,139_28bbR+S,,,,,,,,
,45.67,89.33,140_28aaR,,,,,,,,
,46.04,92.20,141_29aaS,,,,,,,,
,46.76,89.38,143_29aaR,,,,,,,,
31,16.66,51.47,6_C6_Benz,,,,,,,,
,19.22,66.32,12_C7_Benz,,,,,,,,
,26.03,89.20,28_C10_Benz,,,,,,,,
,35.30,82.71,45_C15-Benz,,,,,,,,
,38.46,82.75,53_C17-Benz,,,,,,,,
,30.01,98.05,110_C12-Benz,,,,,,,,
32,23.61,91.99,23_m-C8-Tol,,,,,,,,
,23.99,96.80,25_o-C8-Tol,,,,,,,,
,25.75,97.36,27_m-C9-Tol,,,,,,,,
,18.99,70.89,81_m-C6-Tol,,,,,,,,
,19.36,85.05,83_ o-C6-Tol,,,,,,,,
,21.36,79.93,90_m-C7-Tol,,,,,,,,
,21.73,85.88,94_ o-C7-Tol,,,,,,,,
,28.15,97.80,101_ o-C9-Tol,,,,,,,,
,31.55,95.03,109_m-C11-Tol,,,,,,,,
,31.93,92.36,111_o-C11-Tol,,,,,,,,
,40.50,91.99,131_Phy-Tol,,,,,,,,
33,15.46,63.89,4_2-M-Tetralin,,,,,,,,
,13.99,43.01,72_Tetralin,,,,,,,,
,26.26,0.00,102_8H-A,,,,,,,,
,26.56,0.00,104_8H-Phe,,,,,,,,
34,19.54,71.07,13_B,,,,,,,,
,35.37,88.97,46_BaF,,,,,,,,
,14.56,10.38,74_N,,,,,,,,
,21.10,0.00,89_ANY,,,,,,,,
,44.12,88.41,137_BePy,,,,,,,,
,44.28,84.89,138_BaPy ,,,,,,,,
35,19.87,69.85,14_2-E-N,,,,,,,,
,20.13,82.15,"15_2,6+2,7-DM-N",,,,,,,,
,30.18,88.89,38_2-M-Phe,,,,,,,,
,30.60,91.01,40_1-M-Phe,,,,,,,,
,32.52,95.58,42_C2-phe_s,,,,,,,,
,34.92,92.89,44_2-M-Fl,,,,,,,,
,35.51,0.00,47_Retene,,,,,,,,
,35.73,91.54,48_2-M-Py,,,,,,,,
,36.10,92.27,49_4-M-Py,,,,,,,,
,36.21,91.17,50_1-M-Py,,,,,,,,
,17.93,39.99,80_1-M-N,,,,,,,,
,20.46,85.63,"85_1,3+1,7-DM-N",,,,,,,,
,20.54,83.07,"86_1,6-DM-N",,,,,,,,
,21.26,81.68,"92_1,2 -DM-N",,,,,,,,
,22.86,90.43,"98_1,3,7-TM-N",,,,,,,,
,22.96,92.05,"99_1,3,6-TM-N",,,,,,,,
,26.54,89.87,103_1-M-F,,,,,,,,
,28.89,91.25,107_C2-f_s,,,,,,,,
,30.34,85.26,113_2-M-A,,,,,,,,
,31.75,87.30,114_1-E-Phe,,,,,,,,
,32.62,88.38,"115_1,7 DM-Phe",,,,,,,,
,34.51,92.06,121_C3-phe_s,,,,,,,,
,36.89,97.86,122_C4-phe_s,,,,,,,,
,36.89,88.14,124_Te-M-Phe,,,,,,,,
,37.97,92.22,126_C2-fl,,,,,,,,
,40.74,94.35,132_C1-chr,,,,,,,,
36,29.32,91.03,34_4-M-Dbt,,,,,,,,
,30.11,92.81,37_1-M-Dbt,,,,,,,,
,31.53,92.35,41_C2-dbt_s,,,,,,,,
,20.13,81.71,88_C2-bt_s,,,,,,,,
,33.12,82.02,116_C3-dbt_s,,,,,,,,
,37.91,88.89,127_BNT,,,,,,,,
37,45.12,0.00,56_SC26 TA,,,,,,,,
,46.00,82.96,58_RC26TA+SC27 TA,,,,,,,,
,46.71,0.00,61_SC28 TA,,,,,,,,
,47.95,85.46,65_RC28 TA,,,,,,,,
,38.73,96.77,128_C20TA,,,,,,,,
,40.08,92.61,130_C21 TA,,,,,,,,
41,30.60,0.00,39_FAME 16:0,,,,,,,,
,33.76,0.00,43_FAME 18:0,,,,,,,,
,22.65,0.00,96_FAME 12:0,,,,,,,,
,26.76,0.00,105_FAME 14:0,,,,,,,,
,30.07,0.00,112_FAME 16:1,,,,,,,,
,33.37,0.00,117_FAME 18:2,,,,,,,,
,33.37,0.00,118_FAME 18:1 + 18:3,,,,,,,,
,36.81,0.00,123_FAME 20:1,,,,,,,,
,38.95,0.00,125_FAME 20:0,,,,,,,,

